"","row","col","edge","index","group","group_label","type","Abkhaz-Adyge","Afro-Asiatic","Arawakan","Atlantic-Congo","Austroasiatic","Austronesian","Barbacoan","Boran","Cariban","Chibchan","Chocoan","Dogon","Dravidian","Guaicuruan","Hmong-Mien","Huitotoan","Indo-European","Mailuan","Matacoan","Mongolic","Nakh-Daghestanian","Nuclear Trans New Guinea","Nuclear-Macro-Je","Pama-Nyungan","Pano-Tacanan","Sino-Tibetan","Tai-Kadai","Timor-Alor-Pantar","Tucanoan","Tungusic","Tupian","Turkic","Uralic","West Bomberai"
"ANGER:ANXIETY","ANGER","ANXIETY",0.655635069541596,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"ANGER:ENVY","ANGER","ENVY",0.827271816817864,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANXIETY:ENVY","ANXIETY","ENVY",0.628654472445491,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANGER:FEAR (FRIGHT)","ANGER","FEAR (FRIGHT)",0.679336559301984,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
"ANXIETY:FEAR (FRIGHT)","ANXIETY","FEAR (FRIGHT)",0.906165261621685,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
"ENVY:FEAR (FRIGHT)","ENVY","FEAR (FRIGHT)",0.734483634626163,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"ANGER:GLOOMY","ANGER","GLOOMY",0.443482650427033,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANXIETY:GLOOMY","ANXIETY","GLOOMY",0.352715337401375,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENVY:GLOOMY","ENVY","GLOOMY",0.307123153786069,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):GLOOMY","FEAR (FRIGHT)","GLOOMY",0.419076465704821,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANGER:GRIEF","ANGER","GRIEF",0.7519657958484,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
"ANXIETY:GRIEF","ANXIETY","GRIEF",0.922284573199697,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"ENVY:GRIEF","ENVY","GRIEF",0.585590679243364,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):GRIEF","FEAR (FRIGHT)","GRIEF",0.803037689535667,1,"emotion","Emotion","within",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"GLOOMY:GRIEF","GLOOMY","GRIEF",0.4666467876275,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANGER:HAPPY","ANGER","HAPPY",0.48171154431162,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
"ANXIETY:HAPPY","ANXIETY","HAPPY",0.481865637589113,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ENVY:HAPPY","ENVY","HAPPY",0.474632304132451,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):HAPPY","FEAR (FRIGHT)","HAPPY",0.509956741918136,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"GLOOMY:HAPPY","GLOOMY","HAPPY",0.371778536740347,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:HAPPY","GRIEF","HAPPY",0.533050584411323,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"ANGER:HATE","ANGER","HATE",0.828276099375166,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ANXIETY:HATE","ANXIETY","HATE",0.509422608025822,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENVY:HATE","ENVY","HATE",0.828907146661083,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):HATE","FEAR (FRIGHT)","HATE",0.568394431006169,1,"emotion","Emotion","within",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"GLOOMY:HATE","GLOOMY","HATE",0.54972856171696,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:HATE","GRIEF","HATE",0.567115954055319,1,"emotion","Emotion","within",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"HAPPY:HATE","HAPPY","HATE",0.46765593723439,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ANGER:HOPE","ANGER","HOPE",0.502216232615325,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANXIETY:HOPE","ANXIETY","HOPE",0.527111108867581,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENVY:HOPE","ENVY","HOPE",0.610191919664425,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):HOPE","FEAR (FRIGHT)","HOPE",0.504761396730932,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"GLOOMY:HOPE","GLOOMY","HOPE",0.3269342827691,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:HOPE","GRIEF","HOPE",0.493250521259077,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"HAPPY:HOPE","HAPPY","HOPE",0.566847055029751,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"HATE:HOPE","HATE","HOPE",0.46969747876796,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ANGER:JOY","ANGER","JOY",0.395149566232585,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANXIETY:JOY","ANXIETY","JOY",0.325879075467538,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVY:JOY","ENVY","JOY",0.309355330651179,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FEAR (FRIGHT):JOY","FEAR (FRIGHT)","JOY",0.405602771461402,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GLOOMY:JOY","GLOOMY","JOY",0.0411431344693051,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIEF:JOY","GRIEF","JOY",0.416790328328222,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HAPPY:JOY","HAPPY","JOY",0.96372058362543,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"HATE:JOY","HATE","JOY",0.343752285006268,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HOPE:JOY","HOPE","JOY",0.468754618790383,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGER:LOVE","ANGER","LOVE",0.530998448162261,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANXIETY:LOVE","ANXIETY","LOVE",0.639016458248957,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"ENVY:LOVE","ENVY","LOVE",0.61965206730105,1,"emotion","Emotion","within",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
"FEAR (FRIGHT):LOVE","FEAR (FRIGHT)","LOVE",0.564007162067939,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"GLOOMY:LOVE","GLOOMY","LOVE",0.426178948226248,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:LOVE","GRIEF","LOVE",0.706640416263403,1,"emotion","Emotion","within",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"HAPPY:LOVE","HAPPY","LOVE",0.820404133765426,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"HATE:LOVE","HATE","LOVE",0.515343663311506,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"HOPE:LOVE","HOPE","LOVE",0.718752105673893,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"JOY:LOVE","JOY","LOVE",0.752237354427881,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANGER:PITY","ANGER","PITY",0.577074063611707,1,"emotion","Emotion","within",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANXIETY:PITY","ANXIETY","PITY",0.785956188409488,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENVY:PITY","ENVY","PITY",0.449300052215291,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):PITY","FEAR (FRIGHT)","PITY",0.661273368491862,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"GLOOMY:PITY","GLOOMY","PITY",0.273947154424359,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:PITY","GRIEF","PITY",0.879279119007743,1,"emotion","Emotion","within",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"HAPPY:PITY","HAPPY","PITY",0.61044883080322,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"HATE:PITY","HATE","PITY",0.444051765683213,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOPE:PITY","HOPE","PITY",0.522949636514108,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"JOY:PITY","JOY","PITY",0.446473117290323,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOVE:PITY","LOVE","PITY",0.867167910320945,1,"emotion","Emotion","within",0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANGER:PROUD","ANGER","PROUD",0.51362335459683,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANXIETY:PROUD","ANXIETY","PROUD",0.465163010464695,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENVY:PROUD","ENVY","PROUD",0.404258551976286,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):PROUD","FEAR (FRIGHT)","PROUD",0.459039818991068,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"GLOOMY:PROUD","GLOOMY","PROUD",0.250276194674653,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:PROUD","GRIEF","PROUD",0.504277651857583,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"HAPPY:PROUD","HAPPY","PROUD",0.791970574571902,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"HATE:PROUD","HATE","PROUD",0.462386630477263,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"HOPE:PROUD","HOPE","PROUD",0.561938490812219,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"JOY:PROUD","JOY","PROUD",0.64156302626192,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOVE:PROUD","LOVE","PROUD",0.717829886874747,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"PITY:PROUD","PITY","PROUD",0.504796417011708,1,"emotion","Emotion","within",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANGER:REGRET","ANGER","REGRET",0.60923185475873,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"ANXIETY:REGRET","ANXIETY","REGRET",0.819563685677598,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENVY:REGRET","ENVY","REGRET",0.490904532750063,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):REGRET","FEAR (FRIGHT)","REGRET",0.690660998675665,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GLOOMY:REGRET","GLOOMY","REGRET",0.322998423500835,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"GRIEF:REGRET","GRIEF","REGRET",0.912135805351028,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"HAPPY:REGRET","HAPPY","REGRET",0.501274286662612,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"HATE:REGRET","HATE","REGRET",0.49529286770769,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOPE:REGRET","HOPE","REGRET",0.498439325421072,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"JOY:REGRET","JOY","REGRET",0.359588113001878,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOVE:REGRET","LOVE","REGRET",0.707066277306039,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"PITY:REGRET","PITY","REGRET",0.898022445349804,1,"emotion","Emotion","within",0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROUD:REGRET","PROUD","REGRET",0.529245306320776,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGER:SAD","ANGER","SAD",0.399953188049931,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANXIETY:SAD","ANXIETY","SAD",0.366158823455352,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENVY:SAD","ENVY","SAD",0.328068179444012,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"FEAR (FRIGHT):SAD","FEAR (FRIGHT)","SAD",0.445588404159697,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"GLOOMY:SAD","GLOOMY","SAD",0.210951656890091,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIEF:SAD","GRIEF","SAD",0.403642359803638,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HAPPY:SAD","HAPPY","SAD",0.412673636894828,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HATE:SAD","HATE","SAD",0.443410148862695,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOPE:SAD","HOPE","SAD",0.594684970976173,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"JOY:SAD","JOY","SAD",0.170481824251753,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOVE:SAD","LOVE","SAD",0.488039956996507,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PITY:SAD","PITY","SAD",0.334821489079668,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROUD:SAD","PROUD","SAD",0.379951272794686,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"REGRET:SAD","REGRET","SAD",0.381217366699719,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGER:SHAME","ANGER","SHAME",0.534426969956226,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANXIETY:SHAME","ANXIETY","SHAME",0.761174332283955,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"ENVY:SHAME","ENVY","SHAME",0.47230898271067,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"FEAR (FRIGHT):SHAME","FEAR (FRIGHT)","SHAME",0.809257163663779,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"GLOOMY:SHAME","GLOOMY","SHAME",0.336347893629961,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIEF:SHAME","GRIEF","SHAME",0.80661111135777,1,"emotion","Emotion","within",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"HAPPY:SHAME","HAPPY","SHAME",0.493806054033617,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"HATE:SHAME","HATE","SHAME",0.452853792489032,1,"emotion","Emotion","within",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOPE:SHAME","HOPE","SHAME",0.466432745960143,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"JOY:SHAME","JOY","SHAME",0.332104411564334,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOVE:SHAME","LOVE","SHAME",0.696671479570126,1,"emotion","Emotion","within",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"PITY:SHAME","PITY","SHAME",0.615481349576138,1,"emotion","Emotion","within",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PROUD:SHAME","PROUD","SHAME",0.378188363237286,1,"emotion","Emotion","within",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"REGRET:SHAME","REGRET","SHAME",0.652736402266359,1,"emotion","Emotion","within",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"SAD:SHAME","SAD","SHAME",0.365981355652417,1,"emotion","Emotion","within",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
